AL|HIGHLAND|36266,LINEVILLE
AL|HIGHTOWER|36263,GRAHAM
AL|HODGESVILLE|36301,DOTHAN
AL|HOKES BLUFF|35903,GADSDEN
AL|HOLLIS CROSSROADS|36264,HEFLIN
AL|HOLT|35404,TUSCALOOSA
AL|HOMEWD|35219,BIRMINGHAM
AL|HOMEWOOD|35209,BIRMINGHAM
AL|HOMEWOOD|35219,BIRMINGHAM
AL|HOMEWOOD|35259,BIRMINGHAM
AL|HOODS CROSSROADS|35121,ONEONTA
AL|HOOVER|35216,BIRMINGHAM
AL|HOOVER|35226,BIRMINGHAM
AL|HOOVER|35236,BIRMINGHAM
AL|HOOVER|35244,BIRMINGHAM
AL|HOPEWELL|35023,BESSEMER
AL|HUEYTOWN|35022,BESSEMER
AL|HUEYTOWN|35023,BESSEMER
AL|HUFFMAN|35235,BIRMINGHAM
AL|HUGGERS LANDING|36535,FOLEY
AL|HUNTSVILLE UTILITIES|35895,HUNTSVILLE
AL|HYBART|36481,VREDENBURGH
AL|HYTOP|35768,SCOTTSBORO
AL|IDAHO|36251,ASHLAND
AL|INDIAN SPGS|35124,INDIAN SPRINGS
AL|INDIAN SPGS|35124,PELHAM
AL|INDIAN SPRINGS VILLAGE|35124,PELHAM
AL|INDIAN SPRINGS|35124,PELHAM
AL|INDN SPGS VLG|35124,INDIAN SPRINGS VILLAGE
AL|INDN SPGS VLG|35124,PELHAM
AL|INTERGRAPH CORPORATION|35894,HUNTSVILLE
AL|IRONDALE|35210,BIRMINGHAM
AL|IVALEE|35954,ATTALLA
AL|JACKSON|36501,ALMA
AL|JACKSON|36515,CARLTON
AL|JEFFERSON PARK|35210,BIRMINGHAM
AL|JOSEPHINE|36530,ELBERTA
AL|KEEGO|36426,BREWTON
AL|KELLY SPRINGS|36301,DOTHAN
AL|KINGVILLE|35574,KENNEDY
AL|KINSEY|36303,DOTHAN
AL|KOENTON|36558,MILLRY
AL|LA NETT|36863,LANETT
AL|LAF AYETTE|36862,LAFAYETTE
AL|LAKE VIEW|35111,MC CALLA
AL|LANGDALE|36854,VALLEY
AL|LAVACA|36904,BUTLER
AL|LAWRENCEVILLE|36310,ABBEVILLE
AL|LEMOYNE|36505,AXIS
AL|LEVELROAD|36276,WADLEY
AL|LIBERTY HIGHLANDS|35210,BIRMINGHAM
AL|LIBERTYVILLE|36420,ANDALUSIA
AL|LISMAN|36910,JACHIN
AL|LITTLE BROOKLYN|36429,BROOKLYN
AL|LOW PEACH TRE|36751,LOWER PEACH TREE
AL|LWR PCH TREE|36751,LOWER PEACH TREE
AL|MACEDONIA|36273,RANBURNE
AL|MADRID|36320,COTTONWOOD
AL|MAFB GUN ANNX|36114,MAXWELL AFB GUNTER ANNEX
AL|MAFB GUN ANNX|36114,MONTGOMERY
AL|MAGAZINE|36610,MOBILE
AL|MAGNOLIA SPGS|36555,MAGNOLIA SPRINGS
AL|MALONE|36278,WEDOWEE
AL|MAPLESVILLE|36793,LAWLEY
AL|MARION JCT|36759,MARION JUNCTION
