#,UNIT
VIA,SUFFIX1
VIEW,SUFFIX1
VIEWS,SUFFIX1
VILLIAGE,SUFFIX1
VIS,SUFFIX1
VIST,SUFFIX1
VISTA,SUFFIX1
VL,SUFFIX1
VLG,SUFFIX1
VLGS,SUFFIX1
VLLY,SUFFIX1
VLY,SUFFIX1
VLYS,SUFFIX1
VST,SUFFIX1
VSTA,SUFFIX1
VT,ST_SPECIAL
VW,SUFFIX1
VWS,SUFFIX1
W,DIR
WA,ST_SPECIAL
WALK,SUFFIX1
WALKS,SUFFIX1
WAY,SUFFIX1
WELL,SUFFIX1
WELLS,SUFFIX1
WEST,DIR
WHARF,SUFFIX1
WHRF,SUFFIX1
WI,ST_SPECIAL
WL,SUFFIX1
WLS,SUFFIX1
WST,DIR
WV,ST_SPECIAL
WY,SUFFIX1
WYND,SUFFIX1
XING,SUFFIX1
XRD,SUFFIX1
XRDS,SUFFIX1
¿,PREFIX
¿ LA,PREFIX
¿LA,PREFIX
ACCES,FR_SUFFIX
ALLEE,FR_SUFFIX
ALL…E,FR_SUFFIX
ARCADE,FR_SUFFIX
AV,FR_SUFFIX
AVENU,FR_SUFFIX
AVENUE,FR_SUFFIX
BL,FR_SUFFIX
BOUL,FR_SUFFIX
BOULEVARD,FR_SUFFIX
CAMP,FR_SUFFIX
CARRE,FR_SUFFIX
CARR…,FR_SUFFIX
CEN,FR_SUFFIX
CENT,FR_SUFFIX
CENTRE,FR_SUFFIX
CERCLE,FR_SUFFIX
CHEMIN,FR_SUFFIX
COTE,FR_SUFFIX
COURT,FR_SUFFIX
COURTS,FR_SUFFIX
CROIS,FR_SUFFIX
CROISSANT,FR_SUFFIX
CUL-DE-SAC,FR_SUFFIX
C‘TE,FR_SUFFIX
ECHANGEUR,FR_SUFFIX
IMPASSE,FR_SUFFIX
JONCTION,FR_SUFFIX
MONTEE,FR_SUFFIX
MONT…E,FR_SUFFIX
PARC,FR_SUFFIX
PASSAGE,FR_SUFFIX
PLACE,FR_SUFFIX
PLATEAU,FR_SUFFIX
PLAZA,FR_SUFFIX
PLZA,FR_SUFFIX
PORT,FR_SUFFIX
PRAIRIE,FR_SUFFIX
PROMENADE,FR_SUFFIX
RANG,FR_SUFFIX
ROUTE,FR_SUFFIX
RT,FR_SUFFIX
RU,FR_SUFFIX
SENTIER,FR_SUFFIX
STATION,FR_SUFFIX
STATN,FR_SUFFIX
STN,FR_SUFFIX
TERRASSE,FR_SUFFIX
TUNNEL,FR_SUFFIX
TUNNELS,FR_SUFFIX
VDCT,FR_SUFFIX
VIAD,FR_SUFFIX
VIADCT,FR_SUFFIX
VIADUCT,FR_SUFFIX
VILL,FR_SUFFIX
VILLAG,FR_SUFFIX
VILLAGE,FR_SUFFIX
VILLAGES,FR_SUFFIX
VILLE,FR_SUFFIX
VILLG,FR_SUFFIX
ACCESS,FR_SUFFIX
ALLÈE,FR_SUFFIX
AUT,FR_SUFFIX
AUTOROUTE,FR_SUFFIX
CARRÈ,FR_SUFFIX
CIRCUIT,FR_SUFFIX
CONCESSION,FR_SUFFIX
DOMAINE,FR_SUFFIX
POINTE,FR_SUFFIX
PONT,FR_SUFFIX
QUAI,FR_SUFFIX
RUELLE,FR_SUFFIX
TRAVERSE,FR_SUFFIX
VOIE,FR_SUFFIX
…CHANGEUR,FR_SUFFIX
ALL,SUFFIX1
CCT,SUFFIX1
CONC,SUFFIX1
DOM,SUFFIX1
LIGNE,SUFFIX1
RANGE ROAD,SUFFIX1
RGE,SUFFIX1
RUE,FR_SUFFIX
TOWNSHIP ROAD,SUFFIX1
TRAV,SUFFIX1
TWP,SUFFIX1
WOODS,SUFFIX1
…CH,SUFFIX1
